Time (msec);Accelerator Pedal Angle (%);Engine Speed (rpm);SI-Drive Mode (index);AT Turbine Speed 1 (rpm);AT Turbine Speed 2 (rpm);ATF Temperature (C);AWD Solenoid Valve Pressure (kPa);D/C Solenoid Valve Pressure (kPa);F/B Solenoid Valve Pressure (kPa);Front Wheel Speed (km/h);Fwd/B Solenoid Valve Target Pressure (kPa);Gear Position (gear);H and LR/C Solenoid Valve Pressure (kPa);I/C Solenoid Valve Pressure (kPa);L/U Solenoid Valve Pressure (kPa);P/L Solenoid Valve Pressure (kPa);Rear Wheel Speed (km/h);Turbine Revolution Speed (rpm)
7761;0,00;696;1;0;448;88;0;0;890;0;100;1;20;0;0;2400;0;640
7954;0,00;682;1;0;416;88;0;0;890;0;110;1;20;0;0;2400;0;640
8153;0,00;676;1;0;416;88;0;0;890;0;140;1;20;0;0;2400;0;640
8345;0,00;668;1;0;384;88;0;0;890;0;190;1;20;0;0;2400;0;608
8539;0,00;658;1;0;256;88;120;0;890;0;210;1;20;0;0;2400;0;352
8733;0,00;599;1;0;0;88;140;0;890;0;470;1;20;0;0;2400;0;32
8925;0,00;659;1;0;0;88;150;0;890;0;1390;1;20;0;0;2400;0;32
9118;0,00;710;1;0;0;88;150;0;900;0;1390;1;60;0;0;1950;0;0
9312;0,00;730;1;0;0;88;140;0;890;0;1390;1;60;0;0;1450;0;0
9505;0,00;723;1;0;0;88;140;0;890;0;1390;1;60;0;0;950;0;0
9700;0,00;713;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
9895;0,00;694;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
10088;0,00;690;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
10281;0,00;704;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
10475;0,00;703;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
10668;0,00;765;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
10862;0,00;701;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
11056;0,00;706;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
11251;0,00;703;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
11444;0,00;693;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
11638;0,00;701;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
11832;0,00;640;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
12026;0,00;702;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
12220;0,00;694;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
12418;0,00;690;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
12612;0,00;707;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
12806;0,00;701;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
12999;0,00;700;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
13193;0,00;641;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
13386;0,00;695;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
13580;0,00;704;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
13774;0,00;698;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
13968;0,00;705;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
14161;0,00;702;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
14354;0,00;709;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
14549;0,00;717;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
14742;0,00;712;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
14937;0,00;710;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
15130;0,00;700;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
15325;0,00;702;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
15517;0,00;700;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
15710;0,00;706;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
15904;0,00;708;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
16099;0,00;712;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
16292;0,00;711;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
16485;0,00;703;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
16677;0,00;704;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
16872;0,00;709;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
17065;0,00;719;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
17259;0,00;711;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
17453;0,00;715;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
17646;0,00;707;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
17840;0,00;709;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
18033;0,00;706;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
18226;0,00;709;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
18421;0,00;713;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
18613;0,00;724;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
18806;0,00;728;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
19000;0,00;714;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
19195;0,00;719;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
19388;0,00;719;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
19582;0,00;723;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
19776;0,00;723;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
19969;0,00;733;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
20164;0,00;720;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
20356;0,00;718;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
20549;0,00;714;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
20742;0,00;723;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
20937;0,00;727;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
21130;0,00;731;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
21324;0,00;710;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
21517;0,00;723;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
21711;0,00;725;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
21903;0,00;726;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
22097;0,00;723;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
22290;0,00;734;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
22483;0,00;727;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
22676;0,00;733;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
22870;0,00;738;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
23064;0,00;727;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
23258;0,00;729;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
23451;0,00;734;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
23645;0,00;722;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
23839;0,00;724;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
24032;0,00;723;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
24226;0,00;726;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
24420;0,00;730;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
24614;0,00;734;1;0;0;88;140;0;890;0;1390;1;60;0;0;600;0;0
24808;0,00;726;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
25002;0,00;727;1;0;0;88;150;0;890;0;1390;1;60;0;0;600;0;0
25197;0,00;725;1;0;32;88;140;0;890;0;1390;1;60;0;0;600;0;32
25391;0,00;723;1;0;64;88;140;0;890;0;1390;1;60;0;0;600;0;64
25583;0,00;724;1;0;64;88;150;0;890;1;1390;1;60;0;0;600;1;128
25777;0,00;727;1;0;96;88;140;0;890;1;1390;1;60;0;0;600;1;160
25970;0,00;723;1;0;128;88;140;0;890;2;1390;1;60;0;0;600;2;192
26162;0,00;736;1;0;160;88;140;0;890;2;1390;1;60;0;0;600;2;224
26355;0,00;727;1;0;192;88;130;0;890;2;1390;1;60;0;0;600;2;288
26548;0,00;735;1;0;192;88;130;0;890;3;1390;1;60;0;0;600;3;320
26742;0,00;739;1;0;224;88;130;0;890;3;1390;1;60;0;0;600;3;352
26936;0,00;741;1;0;256;88;120;0;890;3;1390;1;60;0;0;600;3;384
27129;0,00;750;1;0;256;88;120;0;890;3;1390;1;60;0;0;600;3;384
27323;0,00;746;1;0;256;88;120;0;890;3;1390;1;60;0;0;600;3;384
27516;0,00;738;1;0;256;88;120;0;890;3;1390;1;60;0;0;600;3;384
27709;0,00;747;1;0;256;88;120;0;890;3;1390;1;60;0;0;600;3;384
27904;0,00;743;1;0;256;88;120;0;890;3;1390;1;60;0;0;600;3;384
28098;0,00;740;1;0;224;88;120;0;890;3;1390;1;60;0;0;600;3;352
28291;0,00;736;1;0;224;88;130;0;890;3;1390;1;60;0;0;600;3;320
28484;0,00;729;1;0;192;88;130;0;890;2;1390;1;60;0;0;600;3;320
28678;0,00;737;1;0;192;88;130;0;890;2;1390;1;60;0;0;600;2;288
28872;0,00;729;1;0;160;88;130;0;890;2;1390;1;60;0;0;600;2;256
29065;0,00;737;1;0;160;88;130;0;890;2;1390;1;60;0;0;600;2;224
29259;0,00;735;1;0;160;88;130;0;890;2;1390;1;60;0;0;600;2;224
29452;0,00;725;1;0;160;88;130;0;890;2;1390;1;60;0;0;600;2;224
29646;0,00;721;1;0;128;88;130;0;890;2;1390;1;60;0;0;600;2;192
29840;0,00;721;1;0;128;88;140;0;890;1;1390;1;60;0;0;600;1;192
30033;0,00;712;1;0;96;88;140;0;890;1;1390;1;60;0;0;600;1;160
30226;0,00;719;1;0;96;88;140;0;890;1;1390;1;60;0;0;600;1;160
30420;0,00;725;1;0;96;88;140;0;890;1;1390;1;60;0;0;600;1;160
30614;0,00;726;1;0;96;88;140;0;890;1;1390;1;60;0;0;600;1;128
30808;0,00;727;1;0;64;88;140;0;890;1;1390;1;60;0;0;600;1;128
31002;0,00;725;1;0;64;87;140;0;890;0;1390;1;60;0;0;600;1;96
31195;0,00;713;1;0;32;87;140;0;890;0;1390;1;60;0;0;600;0;64
31388;0,00;722;1;0;32;87;140;0;890;0;1390;1;60;0;0;600;0;32
31580;0,00;719;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;32
31774;0,00;729;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
31967;0,00;728;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
32160;0,00;730;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
32353;0,00;723;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
32548;0,00;719;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
32741;0,00;712;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
32934;0,00;723;1;0;0;87;150;0;890;0;1390;1;60;0;0;600;0;0
33128;0,00;714;1;0;0;87;150;0;890;0;1390;1;60;0;0;600;0;0
33322;0,00;722;1;0;0;87;150;0;890;0;1390;1;60;0;0;600;0;0
33515;0,00;720;1;0;0;87;140;0;890;0;1390;1;60;0;0;600;0;0
33708;0,00;704;1;0;32;87;140;0;890;0;1390;1;60;0;0;600;0;64
33903;0,00;693;1;0;64;87;150;0;890;1;1390;1;60;0;0;600;1;96
34097;0,00;697;1;0;96;87;140;0;890;1;1390;1;60;0;0;600;1;160
34290;0,00;700;1;0;128;87;140;0;890;1;1390;1;60;0;0;600;1;192
34483;0,00;702;1;0;160;87;140;0;890;2;1390;1;60;0;0;600;2;224
34677;0,00;735;1;0;160;87;140;0;890;2;1390;1;60;0;0;600;2;256
34870;0,00;747;1;0;192;87;130;0;890;2;1390;1;60;0;0;600;3;288
35065;0,00;753;1;0;224;87;130;0;890;3;1390;1;60;0;0;600;3;320
35258;0,00;741;1;0;224;87;120;0;890;3;1390;1;60;0;0;600;3;352
35451;0,00;740;1;0;224;87;120;0;890;3;1390;1;60;0;0;600;3;352
35645;0,00;745;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
35839;0,00;734;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
36031;0,00;742;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
36226;0,00;751;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
36418;0,00;743;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
36611;0,00;745;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
36805;0,00;747;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
36997;0,00;738;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
37191;0,00;737;1;0;256;87;120;0;890;3;1390;1;60;0;0;600;3;384
37384;0,00;735;1;0;288;87;120;0;890;4;1390;1;60;0;0;600;4;416
37579;0,00;754;1;0;288;87;110;0;890;4;1390;1;60;0;0;600;4;448
37772;25,49;756;1;0;320;87;120;0;890;4;1390;1;60;0;0;600;4;480
37965;15,69;1277;1;0;384;87;300;0;890;5;1390;1;60;0;0;620;5;576
38158;0,00;1530;1;0;480;87;260;0;890;6;1390;1;60;0;0;600;6;704
38350;1,57;1273;1;0;544;87;200;0;890;7;1390;1;60;0;0;600;7;800
38544;8,24;1115;1;0;576;87;140;0;890;8;1390;1;60;0;0;600;8;864
38738;9,80;989;1;0;608;87;90;0;890;8;1390;1;60;0;0;600;8;896
38932;37,65;1103;1;0;640;87;60;0;890;9;1390;1;60;0;0;600;8;960
39125;37,65;1258;1;0;672;87;120;0;890;9;1390;1;60;0;0;600;9;960
39317;36,08;1567;1;0;736;87;190;0;890;10;1390;1;60;0;0;600;10;1088
39513;30,98;1901;1;0;832;87;250;0;890;11;1390;1;60;0;0;670;12;1216
39706;29,80;2043;1;0;960;87;230;0;890;13;1390;1;60;0;0;680;13;1408
39900;26,67;2129;1;0;1088;87;200;0;890;15;1390;1;60;0;0;620;15;1600
40093;33,73;2211;1;0;1216;87;190;0;890;17;1390;1;60;0;0;600;17;1792
40286;83,14;2415;1;0;1312;87;190;0;890;18;1390;1;60;0;0;600;19;1952
40481;100,00;2593;1;0;1472;87;210;0;890;21;1390;1;60;0;0;620;21;2144
40674;100,00;2827;1;0;1632;87;240;0;890;22;1390;1;60;0;0;700;23;2400
40867;100,00;3070;1;0;1792;87;290;0;890;25;1390;1;60;0;0;810;25;2656
41060;100,00;3292;1;0;1984;87;310;0;890;27;1390;1;60;0;0;880;28;2944
41254;100,00;3621;1;0;2208;88;330;0;890;30;1390;1;60;0;0;940;30;3232
41449;100,00;3997;1;0;2368;88;380;0;890;34;1390;1;60;0;0;1060;34;3488
41643;100,00;4502;1;0;2720;88;400;0;890;38;1390;1;60;0;0;1150;38;4000
41837;100,00;4992;1;0;3040;88;410;0;890;43;1390;1;60;0;0;1200;43;4480
42030;100,00;5482;1;0;3360;88;400;0;890;47;1390;1;60;0;0;1490;48;4960
42225;74,90;5795;1;0;3712;88;380;290;890;51;1390;1;60;0;0;2140;52;5472
42419;72,55;6249;1;0;4032;88;370;110;890;56;1390;1;60;0;0;2090;56;5952
42614;71,37;6679;1;0;4320;88;340;210;890;60;1390;1;60;0;0;2020;60;6368
42808;70,20;6944;1;0;4480;88;340;410;890;63;1390;1;60;0;0;1980;63;6624
43002;100,00;6365;1;0;4192;88;280;490;890;67;1390;1;60;0;0;1970;67;6176
43194;100,00;5726;1;0;3680;89;270;530;890;69;1390;1;60;0;0;2110;71;5408
43389;100,00;5432;1;0;3392;89;260;1290;890;73;1390;1;60;0;0;2420;74;4992
43582;100,00;5659;1;0;3552;89;260;1390;890;77;1390;2;20;0;0;2090;78;5248
43776;100,00;5849;1;0;3744;89;260;1390;890;81;1390;2;20;0;0;1590;81;5504
43969;100,00;6051;1;0;3872;89;260;1390;890;84;1390;2;20;0;0;1440;84;5696
44162;72,94;6298;1;0;4000;90;240;1390;890;88;490;2;620;0;0;2400;88;5920
44356;71,76;6442;1;0;4160;90;240;1390;890;90;330;2;180;0;0;2400;91;6112
44550;71,76;6656;1;0;4288;90;230;1390;890;93;180;2;180;0;0;2400;93;6304
44743;70,98;6766;1;0;4352;90;230;1390;890;95;10;2;610;0;0;2400;96;6432
44937;100,00;6415;1;0;4064;90;200;1390;890;97;0;2;760;0;0;2400;97;6016
45131;100,00;5772;1;0;3680;90;200;1390;890;100;0;2;860;0;0;2400;100;5440
45325;100,00;5136;1;0;3104;90;180;1390;890;103;0;2;880;0;0;2400;103;4608
45518;100,00;5176;1;0;3136;90;190;1390;890;106;0;3;1420;0;0;2250;106;4640
45711;100,00;5225;1;0;3232;90;190;1390;890;108;0;3;1420;0;0;1750;108;4768
45904;100,00;5369;1;0;3296;90;190;1390;890;111;0;3;1420;0;0;1320;111;4864
46097;100,00;5409;1;0;3360;90;200;1390;890;113;0;3;1420;0;0;1420;113;4960
46291;100,00;5536;1;0;3424;91;200;1390;890;115;0;3;1420;0;0;1430;115;5056
46485;100,00;5598;1;0;3520;91;200;1390;890;118;0;3;1420;0;0;1440;118;5152
46679;100,00;5680;1;0;3584;91;190;1390;890;120;0;3;1420;0;0;1450;120;5280
46870;100,00;5796;1;0;3648;91;190;1390;890;122;0;3;1420;0;0;1450;122;5376
47062;100,00;5896;1;0;3712;91;190;1390;890;124;0;3;1420;0;0;1460;125;5472
47254;100,00;5999;1;0;3808;91;180;1390;890;127;0;3;1420;0;0;1440;127;5600
47446;100,00;6055;1;0;3840;91;190;1390;890;129;0;3;1420;0;0;1440;129;5632
47638;100,00;6155;1;0;3904;91;180;1390;890;131;0;3;1420;0;0;1420;131;5760
47830;100,00;6177;1;0;3936;91;190;1390;890;132;0;3;1420;0;0;1410;133;5824
48023;100,00;6254;1;0;4000;91;180;1390;890;134;0;3;1420;0;0;1410;135;5920
48216;100,00;6310;1;0;4064;91;180;1390;890;136;0;3;1420;0;0;1400;136;5984
48408;100,00;6386;1;0;4128;91;180;1390;680;138;0;3;1420;170;0;2160;138;6080
48600;100,00;6508;1;0;4160;91;180;1390;280;140;0;3;1420;170;0;2140;140;6144
48792;100,00;6594;1;0;4224;91;170;1390;0;142;0;3;1420;170;0;2130;142;6240
48985;100,00;6560;1;0;4256;91;180;1390;0;143;0;3;1420;600;0;2130;143;6272
49178;100,00;6075;1;1408;4320;91;160;1390;0;144;0;3;1420;710;0;2160;145;5696
49370;100,00;5007;1;4096;4352;91;140;1390;0;146;0;3;1420;710;0;2280;146;4768
49562;100,00;4979;1;4416;4384;91;150;1390;0;148;0;4;1420;1400;0;2260;147;4384
49755;100,00;4964;1;4448;4448;91;150;1390;0;149;0;4;1420;1400;0;1760;149;4448
49946;100,00;5034;1;4480;4480;92;150;1390;0;150;0;4;1420;1400;0;1260;150;4480
50138;100,00;5016;1;4544;4544;92;150;1390;0;152;0;4;1420;1400;0;1030;152;4544
50330;100,00;5096;1;4608;4608;92;150;1390;0;154;0;4;1420;1400;0;1030;154;4608
50524;100,00;5126;1;4608;4608;92;150;1390;0;154;0;4;1420;1400;0;1040;154;4608
50717;100,00;5198;1;4672;4672;92;150;1390;0;156;0;4;1420;1400;0;1060;156;4672
50911;100,00;5240;1;4704;4704;91;150;1390;0;157;0;4;1420;1400;0;1090;158;4704
51104;100,00;5302;1;4736;4736;92;150;1390;0;159;0;4;1420;1400;0;1120;159;4736
51297;100,00;5306;1;4800;4800;91;150;1390;0;160;0;4;1420;1400;0;1150;160;4768
51491;100,00;5307;1;4832;4832;91;150;1390;0;162;0;4;1420;1400;0;1190;162;4832
51683;100,00;5369;1;4864;4864;91;150;1390;0;163;0;4;1420;1400;0;1210;163;4864
51874;100,00;5418;1;4896;4896;91;150;1390;0;164;0;4;1420;1400;0;1240;164;4896
52067;100,00;5442;1;4960;4960;91;150;1390;0;165;0;4;1420;1400;0;1260;166;4960
52259;100,00;5436;1;4992;4992;92;150;1390;0;167;0;4;1420;1400;0;1290;167;4992
52451;100,00;5515;1;5024;5024;92;150;1390;0;168;0;4;1420;1400;0;1300;168;5024
52644;100,00;5508;1;5056;5056;92;150;1390;0;169;0;4;1420;1400;0;1310;169;5056
52837;100,00;5577;1;5088;5088;92;150;1390;0;171;0;4;1420;1400;0;1320;171;5088
53030;90,59;5567;1;5120;5120;92;150;1390;0;172;0;4;1420;1400;0;1320;172;5120
53224;20,39;5535;1;5152;5152;92;150;1390;0;173;0;4;1420;1400;130;1330;172;5152
53416;0,00;5327;1;5152;5152;92;100;1390;0;173;0;4;1420;1400;0;1130;172;5152
53610;0,00;5014;1;5120;5120;92;80;1390;0;171;0;4;1420;1400;0;1100;171;5120
53803;0,00;5016;1;5120;5120;92;60;1390;0;171;0;4;1420;1400;0;1100;171;5120
53997;0,00;5026;1;5120;5120;92;30;1390;0;171;0;4;1420;1400;0;1090;170;5088
54190;0,00;4993;1;5056;5056;92;30;1390;0;170;0;4;1420;1400;0;1060;169;5056
54383;0,00;4964;1;4992;4992;92;30;1390;0;168;0;4;1420;1400;0;1010;167;4992
54576;0,00;4844;1;4960;4960;92;30;1390;0;166;0;4;1420;1400;0;950;165;4928
54769;0,00;4776;1;4864;4896;92;30;1390;0;163;0;4;1420;1400;0;880;162;4896
54963;0,00;4676;1;4768;4800;92;30;1390;0;160;0;4;1420;1400;0;770;159;4800
55155;0,00;4597;1;4704;4704;92;30;1390;0;157;0;4;1420;1400;0;680;156;4704
55349;0,00;4529;1;4608;4608;92;30;1390;0;154;0;4;1420;1400;0;570;153;4608
55541;0,00;4474;1;4448;4480;92;30;1390;0;151;0;4;1420;1400;0;440;147;4480
55734;0,00;4337;1;4384;4416;92;30;1390;0;148;0;4;1420;1400;0;440;147;4416
55926;0,00;4285;1;4352;4352;92;30;1390;0;146;0;4;1420;1400;0;440;145;4352
56120;0,00;4193;1;4256;4256;92;30;1390;0;143;0;4;1420;1400;0;440;142;4256
56312;0,00;4094;1;4192;4192;92;30;1390;0;141;0;4;1420;1400;0;440;139;4192
56506;0,00;4012;1;4128;4128;92;30;1390;0;138;0;4;1420;1400;0;440;137;4128
56700;0,00;4010;1;4064;4064;91;30;1390;0;136;0;4;1420;1400;0;440;135;4064
56894;0,00;3926;1;4000;4000;91;30;1390;0;134;0;4;1420;1400;0;440;134;4000
57086;0,00;3879;1;3968;3968;91;30;1390;0;133;0;4;1420;1400;0;440;133;3968
57280;0,00;3848;1;3936;3936;91;30;1390;0;132;0;4;1420;1400;0;440;132;3936
57474;0,00;3805;1;3936;3936;91;30;1390;0;132;0;4;1420;1400;0;440;131;3936
57668;0,00;3782;1;3904;3904;91;40;1390;0;131;0;4;1420;1400;0;440;130;3904
57862;0,00;3719;1;3904;3872;91;40;1390;0;130;0;4;1420;1400;0;440;129;3872
58054;0,00;3762;1;3872;3840;91;40;1390;0;130;0;4;1420;1400;0;440;129;3840
58247;0,00;3720;1;3840;3840;91;40;1390;0;129;0;4;1420;1400;0;440;128;3840
58440;0,00;3718;1;3808;3808;91;40;1390;0;128;0;4;1420;1400;0;440;128;3808
58633;0,00;3695;1;3808;3808;91;50;1390;0;127;0;4;1420;1400;0;440;127;3808
58827;0,00;3652;1;3776;3776;91;40;1390;0;126;0;4;1420;1400;0;440;126;3776
